MAP,SctO2
75.1986856612045,67.84597864870216
75.14776806859825,69.26702995069034
75.41151310585384,70.01567587366789
76.02410284983743,67.50183906324612
75.93078325563322,68.99973370052615
75.8379637278797,69.2379107633193
76.47097510649503,67.91606017509703
76.77613709179238,70.61049328899017
76.5850365176065,69.24453948981392
76.79973211293188,66.79492200117068
76.61099002889887,68.06595417728911
76.42229372249811,68.9689189486656
76.51764459752886,70.55736946167676
75.75044859986164,68.62002815545141
75.06246043352122,68.13325327370909
74.84299121410776,69.59807663649634
74.44442878743831,67.37915217997126
74.57871743544841,66.22134608091048
74.22345295662825,68.7672827429928
73.66827982780701,67.15272341519592
74.26709042892921,71.78464704924669
74.18636382373738,68.09165944373659
74.22338952634637,68.77645263880154
73.66334641502914,66.77756215945625
73.45827657312559,69.6200264856507
73.51638107353378,67.6818306992507
73.06945545021377,67.54215358650113
73.23546795715478,67.57568481389701
73.0101425802952,65.79274141135357
72.90954866660469,67.3555668392282
72.68547943592948,68.55396650889806
73.44415132670309,65.40525837094333
73.45274654909507,69.2557123377592
73.04364016662178,67.32683771630849
73.38870850357341,68.09125947367329
72.91472292324656,64.38025756134118
73.01501701618673,68.06725533574327
72.24742299661469,66.17656833166444
71.73628742076258,67.22176814123219
71.83775327844161,65.39623538704777
72.15538078433505,66.41984694349183
72.24460767112858,67.49599341277138
72.21860863410012,67.33409223540676
72.11858426110325,69.07001676181494
71.54811952426266,64.94967152064874
71.28400505416565,67.67868598093617
71.12492015972322,67.60950226245367
71.57376191500649,67.06468297569764
71.73498471127911,66.37916639878414
71.05276483805993,69.41247415069878
71.20883253459998,70.82843786093048
71.08048021124318,65.18770101038794
70.8360605780699,66.37618160825448
71.10832917324815,66.2518342559042
71.54699253143588,67.3295125599823
71.94360162199261,69.62961448550641
71.63005541865343,68.54205487713233
71.53010581174462,67.52126955341708
71.68687308020205,67.77424074623241
72.10059599299134,67.26497207912921
71.93038934556516,68.85401440476141
71.8784666341252,69.03732569334912
71.45855993351513,68.64006847396809
71.00483090051297,64.46511560354915
71.35689028331772,67.77435778163452
